Entity,Type,Superclass(es),ensure_fair_processing,validate_authenticity,submitts,has_half-life,'is_tagging_of -> data',has_cost,delends_on,defines_design_of,impact_assessments,ensure_accountability,implements,has_importance,validate_provenance,has_price,is_easy_to_collect,requires,minize_amount,is_easy_to_digitize,capture_records_of,classify_as,enforces_governance_of,defines_desirable,is_categorized_by,referential_integrity,to_notify,uses,ensure_accuracy,is_classified_by,discloses,provides_relational_search_service,ensures_referential_integrity,mandates,is_collected_by,is_compliant_with,provides_database_service,has_value,is_composed_of,'is_taxonomy_of ->  ML, AI',requires_compliance_with,is_secured_by,data_transfer,provides_referential_integrity,is_metadata_of,ensure_transparancy,being_notified,provides_fulltext_service,is_stored_in,'is managed by',ensure_integrity,has_capability,provides_index_service,monitors,consists_of,provides,ensure_lawfulness_processing,is_an_expense,has_obligations,limit_storage_period,is,designs,is_administered_by,specifies,has,'is_governed_by an IGProgram,',Classify,is_classiffied_by,is_retrieved,cooperation_with,is_specified_by,has_member,complies_with,be_appointed,requires_referential_integrity,comply_with_,is_searched_using,implements_relational_index_service,plan,is_governd_by,is_disposed_by,is_member_of,is_defined_by,handles,provides_fulltext_search_service,implements_fulltext_service,implements_database_service,is_responsible_for,requires_design_of,is_archived,provides_relational_index_service,implements_relational_search_service,avoids_orphan_contentobjects,is_hard_to,requires_twophase_commit_protocol,provides_catalog_service,limit_purpose,avoids_dangling_pointers,developes,provides_search_service,complies,provides_fulltext_index_service,is_obligated_to_esure,has_risk,has_maturity_level,align,analyze,appoint,approve,aquire,archive,assess,audit,backup,build,classify,communicate,conduct_inventory,control,convert,coordinate,correct,create,defines,defines_maturity,design,develop,distribute,ensure,establish,estimate,evaluate,governs,has_maturity,manage,measure,monitor,produces,profile,promote,test,validate,owl:topObjectProperty,risk,value,maturitylevel,cost,owl:topDataProperty,abstract,contributor,creator,description,issued,license,modified,publisher,references,rights,source,title,igso:isReferencedBy,contentLanguage,copyright,fileAbbreviation,fileAbstract,filename,relatedSpecification,rdfs:comment,rdfs:isDefinedBy,rdfs:label,'alternative label','change note',definition,'editorial note',example,skos:historyNote,note,'preferred label','scope note','construct regex','parse regex','actual expression','common designation','definition origin','has maturity level','preferred designation','term origin',abbreviation,acronym,'adapted from',copyright,'direct source','explanatory note','logical definition',symbol,synonym,'usage note',
align,ObjectProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'align'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation_to_Data_minimization,Class,Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation_to_Data_minimization'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoadMethod,Class,Method	Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'LoadMethod'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticLoadBalancer,Class,ManagementComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ElasticLoadBalancer'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_to_data_portability,Class,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Right_to_data_portability'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_of_access,Class,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Right_of_access'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_to_rectification,Class,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Right_to_rectification'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation_to_cooperation_with_SupervisoryAuthorities,Class,Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation_to_cooperation_with_SupervisoryAuthorities'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right,Class,RegulationDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Right'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepositoryService,Class,Capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Key content repository services capabilities are:  

Content Repository consists of  a Object Catalog  that is defined by a Object Schema 
persisted in a  Database hosted on an  RDBMSystem that uses  DBStorage consisting of Block and Blob-Storage 

Metadata Repository consiss of a  System Catalog that defines the  Repository Schema persisted in a  Database  hosted on an  RDBMSystem that uses  DBStorage consisting of Block and Blob-Storage

Document management provides  Document scanning, capture, indexing, store, search and archive services ;  

enables Enterprise Collaborations'",,"'RepositoryService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserInterfaceComponent,Class,CloudApplicationComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'UserInterfaceComponent'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention.REQ,Class,FunctionalRequirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Retention.REQ'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation_of_Accuracy_of_Data,Class,Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation_of_Accuracy_of_Data'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocumentsService,Class,RMSCoreServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DocumentsService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LooseCoupling,Class,FundamentalCloudArchitecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'LooseCoupling'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restriction,Class,RegulationDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Restriction'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoldService,Class,RecordsManagementServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'HoldService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation,Class,RegulationDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnpredictableWorkload,Class,ApplicationWorkload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'UnpredictableWorkload'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudApplicationManagementPattern,Class,IGSCloudPatterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'CloudApplicationManagementPattern'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGSDesignPattern,Class,DesignDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'IGSDesignPattern'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HybridBackup,Class,HybridCloudApplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'HybridBackup'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation_to_cross-border_DataTransfers,Class,Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation_to_cross-border_DataTransfers'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three-TierCloudApplication,Class,NativeCloudApplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Three-TierCloudApplication'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudComputingFundametal,Class,IGSCloudPatterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'CloudComputingFundametal'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FundamentalCloudArchitecture,Class,CloudApplicationArchitecturePattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'FundamentalCloudArchitecture'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelationalDataBase,Class,StorageOffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'RelationalDataBase'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
At-least-Once-Delivery,Class,CommuicationOffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'At-least-Once-Delivery'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataDiscoveryRequest,Class,ServerDiscoveryService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DataDiscoveryRequest'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeout-BasedMessageProcessor,Class,CloudApplicationComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Timeout-BasedMessageProcessor'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollectionMethod,Class,Method	Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'CollectionMethod'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer.REQ,Class,FunctionalRequirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Transfer.REQ'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software-as-a-Service,Class,CloudServiceModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Software-as-a-Service'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElasticPlatform,Class,CloudEnvironment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ElasticPlatform'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
InformationGovernanceService,Class,Capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Governance Services - Regulations - EU-GDPR - DoD 5015.02 - BASEL II   
	Records Management: 
	File Plan, Records Classification, Taxonomy - Security Marks  
	Record repository - Records Catalog - Records Schema - Database -  RDBMS - DB-Storage
	Data Value, Cost , Risk'	'Information Governance: relates to regulatory compliance (Compliance), implements Records Lifecycle Services, 
		Annotation: Governance mandates that business relevant information needs to be retained because of regulations. 
		business relevant information, retain, coprorate regulatory compliance information, personnel records, 
		audit relevant information, record category, retention schedule, record folder, permissions. 
		Create a file plan, use a taxonomy,create record types, create record metadata, edit create record metadata, process a record.'",,"'InformationGovernanceService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_to_restrict_processing,Class,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Right_to_restrict_processing'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockStorage,Class,StorageOffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'BlockStorage'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataProcessor,Class,Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'A natural person or legal entity that processes personal data on behalf of the controller (e.g., a call centres acting on behalf of its client) is considered to be a processor. At times, a processor is also called a third party.

The key responsibility of the processor is to ensure that conditions specified in the Data Processing Agreement signed with the controller are always met, and that obligations stated in GDPR are complied with.'",,"'DataProcessor'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NativeCloudApplication,Class,CompositeCloudApplicationPattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'NativeCloudApplication'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GovernanceProcessMarurityModel,Class,GovernanceDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'GovernanceProcessMarurityModel'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervisor,Class,ProcessingOffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Hypervisor'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArchiveService,Class,RecordsManagementServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'ArchiveService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulation,Class,RegulationDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Regulation'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ApplicationService,Class,Capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Digitak Workspace, App-Development Framework, Content Mobile;'",,"'ApplicationService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search.REQ,Class,FunctionalRequirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Search.REQ'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligation_comply_with_ConsentRequirements,Class,Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Obligation_comply_with_ConsentRequirements'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
eDiscoveryService,Class,RecordsManagementServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'eDiscoveryService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USPrivacyAct,Class,Regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'USPrivacyAct'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollectionService,Class,RecordsManagementServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'CollectionService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
UtilityService,Class,IGServicesDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'UtilityService'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DedicatedComponent,Class,Multi-Tenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'DedicatedComponent'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,Class,RegulationDomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Jurisdiction'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGSDataType,Class,DataType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'IGSDataType'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
